topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
55,Dominatrix Session,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.35333333333333333,0.005967560533581216,0.00834068756390838,1.0
56,Sleep Deprivation,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.21555555555555556,0.002536138189767786,0.0021721624631417255,1.0
57,Shower Hygiene,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.16111111111111112,0.003963799422218939,0.004130231087274958,1.0
58,Compliments And Flirting,83,33,Alexa_Riley,3,0.03614457831325301,0.07228915662650602,False,0.0,low,-0.19333333333333333,0.0014394157630822232,0.0016256902577980949,0.9021739130434783
59,Silent Staring Conversation,5,2,Leslie_North,3,0.6,1.0,True,0.75,high,0.3827777777777778,0.00042889204737920836,0.000384830211430685,0.043478260869565216
60,Boss's Boss Interaction,73,33,Tia_Louise,3,0.0410958904109589,0.0821917808219178,False,0.0,low,-0.3244444444444444,0.001250501978704105,0.0014430696141341068,0.7934782608695652
61,Apology And Forgiveness,90,33,Alexa_Riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,0.03111111111111111,0.003675020323524947,0.0039660126141575665,0.9782608695652174
62,Months Of Careful Lies,67,32,Tia_Louise,3,0.04477611940298507,0.08955223880597014,False,0.0,low,0.18444444444444444,0.0012133867395458357,0.0011748929820530672,0.7282608695652174
63,Deceptive Relationship,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.24,0.0024902149496457467,0.0021658413694304037,1.0
64,Doorway Questions And Answers,3,1,Meghan_Quinn,3,1.0,1.0,True,0.6666666666666666,high,0.3466666666666667,0.0002431319064049811,0.00021130142782774383,0.03260869565217391
65,Apologetic Excuse Me,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.06,0.006844534687682803,0.006843019489277992,1.0
66,Bluffing About Feelings,19,17,Ana_Huang,2,0.10526315789473684,0.21052631578947367,False,0.0,low,0.3933333333333333,0.0009472742151199184,0.000803619830299941,0.20652173913043478
67,Married Couple's Affectionate Stares,4,2,Catharina_Maura,3,0.75,1.0,True,0.6666666666666666,high,0.4533333333333333,0.0003722483314933347,0.0003312425393321226,0.043478260869565216
68,Percentage-based Assurance,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.09555555555555556,0.0027883726077449064,0.0027297184487583793,1.0
69,Painful Emotional Burden,91,33,Alexa_Riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.31555555555555553,0.002112026663335557,0.0017116162949176114,0.9891304347826086
70,Kitten Rescue And Bonding,36,22,Tia_Louise,3,0.08333333333333333,0.16666666666666666,False,0.0,low,0.37777777777777777,0.0010024119201902121,0.0007515030119864758,0.391304347826087
71,Phone Interruption,76,33,Max_Monroe,3,0.039473684210526314,0.07894736842105263,False,0.0,low,0.017777777777777778,0.0015767662239261418,0.0015273398347949688,0.8260869565217391
73,Desolate Emotional Conversation,6,5,JS_Scott,2,0.3333333333333333,0.5,False,0.0,medium,0.16444444444444445,0.0006863149850059446,0.0006531435194080245,0.06521739130434782
74,Confused About Relationship Feelings,3,1,Stella_Rhys,3,1.0,1.0,True,0.6666666666666666,high,0.2733333333333333,0.00022385143136091707,0.0001974525843210713,0.03260869565217391
75,Bedroom Encounter,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.31777777777777777,0.0035414818251288636,0.0027198825379157994,1.0
76,Whispered Secrets,74,29,Alexa_Riley,3,0.04054054054054054,0.08108108108108109,False,0.0,low,0.38222222222222224,0.0013593884646717369,0.001131745899595085,0.8043478260869565
77,Puzzled Decision Making,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.14888888888888888,0.0067712674114258015,0.006207270253988765,1.0
79,Grandmother's Tears,3,3,Pippa_Grant,1,0.3333333333333333,0.6666666666666666,False,0.0,medium,0.2311111111111111,0.00036283488546279535,0.0003230380750444796,0.03260869565217391
80,Hockey Player's Lovesick Reminders,10,5,Sarina_Bowen,3,0.3,0.5,False,0.0,low,0.042222222222222223,0.0007361140480690411,0.0007369150988006981,0.10869565217391304
81,Family Discussion Around Table,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.18666666666666668,0.0022469663981108117,0.002621509505318682,1.0
82,Frightened Admissions,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.42,0.0022944287907610108,0.0017861599829477215,1.0
83,Animal Farm Visit,31,18,LJ_Shen,3,0.0967741935483871,0.1935483870967742,False,0.0,low,0.13333333333333333,0.000986502469687332,0.0008447910299863986,0.33695652173913043
84,Emotional Burden About Marriage,78,33,Lisa_Kleypas,3,0.038461538461538464,0.07692307692307693,False,0.0,low,0.1111111111111111,0.0015729265891105996,0.0015255977621382501,0.8478260869565217
