topic,mean_trash,mean_middle,mean_top,H,p,q,significant,max_group,max_mean,eta2_kw
Intimacy and Gentle Touches,0.061659876437542,0.0919124352725822,0.0862187114315427,4.88834770025719,0.086797813291397,0.38539379286724,False,middle,0.0919124352725822,0.03174008461821087
Sports and Games,0.4756315432016394,0.7092480009573856,0.4465751207276688,4.864614717676349,0.0878339341883477,0.38539379286724,False,middle,0.7092480009573856,0.03147928261182801
Grasps and Holding,0.3635123346934563,0.2697794544015433,0.2598619553995874,4.786810424704091,0.0913181959883423,0.392668242749872,False,trash,0.3635123346934563,0.030624290381363634
Business and Big Money,1.939475134457241,1.6420073864582772,1.4268440582156594,4.7191764801502245,0.0944591096657089,0.3982099721201456,False,trash,1.939475134457241,0.029881060221431038
Beliefs and Convictions,0.1223850316815175,0.0848107478553052,0.0958232283779087,4.575863058177941,0.1014761453718576,0.4195648318259497,False,trash,0.1223850316815175,0.028306187452504843
Crossroads and Decisions,0.1970783584537112,0.1689412809582069,0.2236592600584903,4.495980139097682,0.1056112827125172,0.4284231279847397,False,top,0.2236592600584903,0.027428353176897607
Letting Go of Resentment,0.1000012269115072,0.086293262513633,0.1696662595599198,4.341882775379907,0.1140701820846539,0.4541683175592704,False,top,0.1696662595599198,0.02573497555362535
Expressing Gratitude,0.4291392491433481,0.5116071302779248,0.5228782668638965,4.278068218762428,0.1177685396313135,0.4595379428560638,False,top,0.5228782668638965,0.02503371668969701
Mirrors and Reflections,0.1363512539014077,0.1402017035711304,0.1853235056583392,4.245640207527354,0.1196936037206491,0.4595379428560638,False,top,0.1853235056583392,0.024677364917883013
Moments of Calm and Piece,0.1071728354630522,0.1353830583087031,0.1439545329422269,4.1650960818601295,0.124612290115748,0.4675414683818299,False,top,0.1439545329422269,0.023792264635825598
Slow Walking and Running Fast,0.1220711657652447,0.0997504879999992,0.0742255670862147,4.137106470566847,0.1263684749669592,0.4675414683818299,False,trash,0.1220711657652447,0.02348468648974557
What's in a name?,0.3616106083431238,0.3481655466394,0.2763099511687417,4.106735631976278,0.1283020773698975,0.4675414683818299,False,trash,0.3616106083431238,0.02315094101072833
Closet and Clothing,0.0944164755582816,0.0978762762344233,0.0581876693442174,4.06963985893493,0.1307040163269119,0.4683560585047677,False,middle,0.0978762762344233,0.022743295153131098
Inner Conflicts and Doubts,8.291985353355182,7.316875465816348,7.768447898284244,3.987893291911973,0.1361570001833057,0.4798976235968973,False,trash,8.291985353355182,0.0218449812298019
Bars and Nightlive,0.1501969809455052,0.18126846085018,0.15286722081428,3.8533579959603146,0.1456310372544598,0.4826138359992371,False,middle,0.18126846085018,0.020366571384179282
Flirting and Teasing,0.1595970970144155,0.2320525114525543,0.1734720150463041,3.84957842946004,0.1459065085579088,0.4826138359992371,False,middle,0.2320525114525543,0.020325037686374066
Renting and Leasing,0.0802717141500007,0.0943504217969367,0.0482214046349461,3.895637335933493,0.1425847573075321,0.4826138359992371,False,middle,0.0943504217969367,0.020831179515752668
Stairs and Elevators,0.2363826977906641,0.3324378439680154,0.2876977095805136,3.9369387059184566,0.1396704788880802,0.4826138359992371,False,middle,0.3324378439680154,0.021285040724378645
Kicking and Martial Arts,0.0415443306861527,0.0574761286430737,0.0345795764459419,3.793361331445841,0.1500659123516636,0.4888510781152679,False,middle,0.0574761286430737,0.019707267378525725
Office Environment,0.999886310146865,0.7261142037670221,0.5910492525610087,3.754284669291565,0.1530267808539832,0.4910560878150208,False,trash,0.999886310146865,0.019277853508698515
Breaking and Ending,0.2431111207251457,0.222029510979284,0.3185320406533027,3.6811880230994714,0.1587231147353091,0.4945720241752385,False,top,0.3185320406533027,0.01847459366043375
Fancy Footwear,0.2389342520443016,0.2478809177385631,0.1885063940261864,3.68771359570528,0.1582060790777142,0.4945720241752385,False,middle,0.2478809177385631,0.01854630324950857
Clothing and Fashion,1.010127183884532,0.8899468146366999,0.763639645929437,3.528714373442142,0.171296863000003,0.4951019811557935,False,trash,1.010127183884532,0.01679905904881475
Conversations,1.007437162225309,1.1000110513532062,1.185255005538434,3.5624092396722777,0.1684351247183123,0.4951019811557935,False,top,1.185255005538434,0.017169332304090963
Fists and Anger,0.120271531428953,0.0554551946176142,0.0624234814716564,3.493237860359681,0.1743624796665339,0.4951019811557935,False,trash,0.120271531428953,0.016409207256699792
Gritted Teeth and Suppressed Emotions,0.1190566399173666,0.0842096756941821,0.1249770774154252,3.6231642849370793,0.1633954173621917,0.4951019811557935,False,top,0.1249770774154252,0.01783697016414373
Makeup and Cosmetics,0.0971846057397303,0.1284759480445772,0.1418206951201295,3.549597535288327,0.1695175584850888,0.4951019811557935,False,top,0.1418206951201295,0.017028544343827768
Racing Pulse or Flushed Skin,0.2646118868076457,0.1616773567519495,0.2672589295153441,3.4857924058751,0.1750127933387921,0.4951019811557935,False,top,0.2672589295153441,0.016327389075550553
Seduction and Desire,0.3140509478174983,0.381845557865029,0.3312161331255198,3.555841598151872,0.1689891446307996,0.4951019811557935,False,middle,0.381845557865029,0.017097160419251342
Blowjob,0.5535076225740277,0.3431611097528039,0.434142863087368,3.3906946501463158,0.1835354714850016,0.5058990560163507,False,trash,0.5535076225740277,0.015282358792816657
Memories and Remembering,0.2117599193955039,0.2376880728402721,0.255865968378464,3.400727728898685,0.1826170641047907,0.5058990560163507,False,top,0.255865968378464,0.015392612405480052
Deep Kisses and Oral Sex,0.3048631150592754,0.3140185149663106,0.2248345075294281,3.319781303509084,0.1901597726021788,0.5175234317654234,False,middle,0.3140185149663106,0.014503091247352572
Sitting on a Lap,0.0424724764098939,0.034734461791337,0.019914270597402,3.1374922948220965,0.2083062039546437,0.5598229231281051,False,trash,0.0424724764098939,0.012499915327715347
Deep Expressions of Affection,1.006188995362927,1.1791148983449886,0.9766955759221174,3.026798680046792,0.2201603047487128,0.5686429610110261,False,middle,1.1791148983449886,0.011283501978536177
Luxury Romance by the Sea,0.1267372782609035,0.1827064304429352,0.161766619938243,3.002903026260393,0.2228065187329366,0.5686429610110261,False,middle,0.1827064304429352,0.011020912376487833
Push-Pull Actions,0.1142414948134006,0.094351458921183,0.0878006832842443,3.038983938926682,0.218823027498522,0.5686429610110261,False,trash,0.1142414948134006,0.011417405922271232
Sun on the Sky and Bright Moments,0.1712265440966873,0.1555361991570203,0.1190596231946013,3.077131052478938,0.2146888461648334,0.5686429610110261,False,trash,0.1712265440966873,0.011836604972296024
Tender Kisses and Affectionate Touches,3.980942306672377,3.5185238598451902,3.164488059874045,2.9849785969728373,0.2248123334229637,0.5686429610110261,False,trash,3.980942306672377,0.010823940626075135
Charity and Giving,0.0577661811671136,0.0602441953360368,0.0614981870481435,2.837138807815452,0.2420600594896298,0.5796084155401292,False,top,0.0614981870481435,0.009199327558411559
Gym and Fitness,0.0255031707577698,0.048087437126159,0.054348384746826,2.766882168099968,0.2507143378848001,0.5796084155401292,False,top,0.054348384746826,0.00842727657252712
Hesitation Before Action,0.0843068282978916,0.0801080229306343,0.1273593245797291,2.838888646548887,0.241848369075199,0.5796084155401292,False,top,0.1273593245797291,0.009218556555482276
Moments of Comfort and Relaxation,0.0927113018375981,0.1023728473628866,0.0811341170112157,2.798310882796429,0.2468053174996878,0.5796084155401292,False,middle,0.1023728473628866,0.008772647063697023
Smoking and Cigarettes,0.0961926113462133,0.0741885246557735,0.1323998985280899,2.773808035602666,0.2498476322803579,0.5796084155401292,False,top,0.1323998985280899,0.008503385006622703
Towels or Post-Shower Moments,0.0828434080081817,0.1620154297996976,0.094195021204992,2.895607996171265,0.2350859709084927,0.5796084155401292,False,middle,0.1620154297996976,0.009841846111772143
Trip in Transport,0.0755780926527054,0.067791937526157,0.0939179096967137,2.828659624840656,0.2430884737450382,0.5796084155401292,False,top,0.0939179096967137,0.009106149723523693
Working on the Сomputer,0.1079814191564892,0.0692536697504428,0.0365851507214332,2.7776736124787798,0.2493651960391903,0.5796084155401292,False,trash,0.1079814191564892,0.008545863873393185
Birthdays and Celebrations,0.0818801277710749,0.0840425953496003,0.084632458575168,2.740250348133157,0.2540751539419874,0.5811293414630562,False,top,0.084632458575168,0.008134619210254473
Jeans and Casual Wear,0.1673712855004888,0.1249261830166537,0.1325140739710875,2.689217913012971,0.2606416101403496,0.5898731176860544,False,trash,0.1673712855004888,0.00757382321992276
Appoitments and Timing,0.4351915567278814,0.4870401748570785,0.4059417364453702,2.616433308769326,0.2703016681116112,0.5912658796918172,False,middle,0.4870401748570785,0.006773992404058527
Change Your Mind,0.2510415524350444,0.2001958334448945,0.2176060928172058,2.556975977030948,0.278458014026331,0.5912658796918172,False,trash,0.2510415524350444,0.006120615132208221
Cozy Romantic Settings (like Fireplaces),0.0667775059967134,0.050459762262093,0.0386708258017952,2.5502514842979505,0.2793958341799343,0.5912658796918172,False,trash,0.0667775059967134,0.006046719607669785
Healing and Time to Rest and Recover,0.0239861456859041,0.0257495054476272,0.0292497532141254,2.6297451640220952,0.2685085338770682,0.5912658796918172,False,top,0.0292497532141254,0.006920276527715332
Lost and Found,0.0907995453625319,0.075583116787894,0.1095611481960468,2.542309393100679,0.2805075336212342,0.5912658796918172,False,top,0.1095611481960468,0.005959443880227243
Trust and Betrayal,0.2618374561936315,0.3464854906829979,0.2923293875375442,2.632810975940155,0.2680972508550713,0.5912658796918172,False,middle,0.3464854906829979,0.006953966768573132
Weight Lifting,0.1932628451671911,0.1852060424048078,0.1538466464862722,2.5493900594248995,0.2795161993599581,0.5912658796918172,False,trash,0.1932628451671911,0.006037253400273621
Heartfelt Apologies and Reconciliation,0.9049823233393888,0.9948951165185104,1.0841070460377522,2.493718166383701,0.2874060993092969,0.5999253529271732,False,top,1.0841070460377522,0.005425474355864845
Control and Manipulation,0.1597803410632908,0.1147040206711013,0.1257497374363611,2.437908246095988,0.2955391028774726,0.6109702607563137,False,trash,0.1597803410632908,0.004812178528527343
Lessons and Learning,0.1068042410534731,0.086150120200268,0.1335956072416135,2.379433657323664,0.3043074230074445,0.6226696822907205,False,top,0.1335956072416135,0.004169600629930374
Сoffee and Tea,0.1782770454058369,0.2464773684202959,0.1934266864792159,2.3618760796189333,0.3069906340596111,0.6226696822907205,False,middle,0.2464773684202959,0.003976660215592674
Dealing with Doubts and Uncertainty,0.0911817742854457,0.0616214332322289,0.0874838549340567,2.275945333110485,0.3204680593009016,0.6439311471934004,False,trash,0.0911817742854457,0.0030323662979174185
Academic Settings,0.2136668345433678,0.2302137150735421,0.1945565156716274,2.245936675223253,0.3253127220457734,0.6476132892577895,False,middle,0.2302137150735421,0.0027026008266291517
Expecting a Child,0.3118431515281245,0.2708422191150806,0.2877871508453542,2.17226789014928,0.337518840989164,0.6657481725933052,False,trash,0.3118431515281245,0.0018930537379041735
Clenching Jaws and Suppressing Emotions,0.1769043786275615,0.1386294803035319,0.1908563130829026,2.02202311102417,0.3638507381348593,0.6900357612744539,False,top,0.1908563130829026,0.00024201220905681545
Distance and Separation,0.0542812476634311,0.0548721804689736,0.0667983467442853,2.0286424025901835,0.3626485116430746,0.6900357612744539,False,top,0.0667983467442853,0.00031475167681520294
Gym Activities,0.254678736592174,0.1223351378781192,0.1166849449647161,1.9967302215189824,0.3684813752252981,0.6900357612744539,False,trash,0.254678736592174,0.0
Irritation and Disgust,0.2326611762039126,0.2403807929847236,0.1970060858878531,1.9530585082364125,0.376615971432816,0.6900357612744539,False,middle,0.2403807929847236,0.0
Keeping Promises,0.1840152482655832,0.1406669267927164,0.1984071489415457,1.9928581112838168,0.3691954665145315,0.6900357612744539,False,top,0.1984071489415457,0.0
Luxury Apartments,0.5921618077996518,0.5963674917892571,0.4608046418778893,1.9606267746060568,0.375193499546361,0.6900357612744539,False,middle,0.5963674917892571,0.0
Mundane Tasks like Washing Dishes,0.0571917747018325,0.0731794284467245,0.0524460753846361,2.0139418118001253,0.365323905751469,0.6900357612744539,False,middle,0.0731794284467245,0.00015320672307830028
Nervous Gestures and Reactions,1.0908332359367026,0.9534418537202524,1.0238292090292938,1.941930516923719,0.378717301536677,0.6900357612744539,False,trash,1.0908332359367026,0.0
Suffering and Terrible Feelings,0.1951988834485493,0.2151922602913952,0.1766154052334824,2.039868142354184,0.3606187145567305,0.6900357612744539,False,middle,0.2151922602913952,0.0004381114544415801
Overwhelming Desire,0.0832456983654635,0.0988786115960879,0.0994997275013504,1.8897410958903649,0.3887298895277265,0.7017457124997575,False,top,0.0994997275013504,0.0
Taste and Flavors,0.209479346264786,0.1662613456322146,0.1805482024853922,1.874660917660916,0.3916720255812599,0.7017457124997575,False,trash,0.209479346264786,0.0
Pets and Animals,0.1997713758818093,0.3109362463385179,0.2957173902246345,1.8230397032100456,0.4019129116154329,0.7141427768373395,False,middle,0.3109362463385179,0.0
Figuring Out and Planning,0.0250811603697801,0.0133300339214896,0.0104697305230993,1.7463477067608706,0.417623966347991,0.7154772932767081,False,trash,0.0250811603697801,0.0
Jacuzzi and Swimming Pools,0.315937546848625,0.1286408868685439,0.1770854680124001,1.7539381252107586,0.4160419998640816,0.7154772932767081,False,trash,0.315937546848625,0.0
Morning Sickness (Find out Pregnancy),0.2018514678329352,0.2152343953949322,0.274990426254216,1.7405196134244258,0.4188427169613439,0.7154772932767081,False,top,0.274990426254216,0.0
Suitcases and Wallets,0.5475278885094297,0.6659693444896111,0.567480664046177,1.7383230742554392,0.4193029718737917,0.7154772932767081,False,middle,0.6659693444896111,0.0
Surprise and Unforeseen Revelations,0.2151135584847361,0.1946148246025237,0.1777311426097018,1.7469850571556462,0.4174909011514963,0.7154772932767081,False,trash,0.2151135584847361,0.0
Siblings and Family,2.296920583628785,2.479211517320916,2.556553819073029,1.7027311408166272,0.4268316651021977,0.7169438124763478,False,top,2.556553819073029,0.0
Spending Money,0.0255159484705236,0.0423471723227757,0.0244939833809156,1.7106122802959791,0.4251530147503363,0.7169438124763478,False,middle,0.0423471723227757,0.0
Woman Pleasure and Arousal,2.432842311979366,2.235347995127438,1.9903843674930295,1.6665272524816643,0.4346285041404976,0.7188086799246691,False,trash,2.432842311979366,0.0
Yoga and Meditation,0.0701292941480758,0.1509802604723793,0.0955743093332849,1.6803938896603705,0.4316255086452395,0.7188086799246691,False,middle,0.1509802604723793,0.0
Dress like a Billionaire,0.1704975648126375,0.220157444171891,0.1369257578958402,1.5680387139534786,0.4565672117768796,0.7198568009791367,False,middle,0.220157444171891,0.0
Mental Healthcare,0.0779066776396703,0.0707369488365816,0.0970846776531885,1.5725810500754935,0.4555314475503276,0.7198568009791367,False,top,0.0970846776531885,0.0
Missing and Dealing with Absence,0.3045712020666416,0.2766217755992372,0.2475645835407459,1.5965628725210197,0.4501018285001896,0.7198568009791367,False,trash,0.3045712020666416,0.0
Nighttime Rendezvous and Events,1.340007823724617,1.6010199504266405,1.5057753646743808,1.5805358104007636,0.4537232241870249,0.7198568009791367,False,middle,1.6010199504266405,0.0
Romantic Meals and Dates,3.0023536262327672,3.4863846553746485,3.2547693140771625,1.5587201531625965,0.4586994499262405,0.7198568009791367,False,middle,3.4863846553746485,0.0
Sex Frictions,0.0565619927733496,0.0316533954448749,0.0278897178674637,1.569221048771156,0.4562973838859189,0.7198568009791367,False,trash,0.0565619927733496,0.0
Shopping and Stores,0.1412368142240785,0.1970475285976931,0.1313830330350795,1.6005276151657664,0.4492104433633026,0.7198568009791367,False,middle,0.1970475285976931,0.0
News and Reporting,0.1516989290555025,0.1384693964930217,0.1641963024175324,1.461166427745986,0.4816280160236125,0.7503624887324398,False,top,0.1641963024175324,0.0
Romantic Gestures with Flowers,0.5401645137586291,0.2570738530761227,0.4093394387892177,1.3959710220904726,0.4975866776906801,0.7595434588327076,False,trash,0.5401645137586291,0.0
Sensual Lips and Subtle Seduction,0.3406376860349646,0.261103103766267,0.2976349362029133,1.4158579339792323,0.4926634639262005,0.7595434588327076,False,trash,0.3406376860349646,0.0
Tears and Emotional Release,0.5347536279005459,0.4960501080754547,0.5223264532182866,1.3938317520265238,0.4981191985833105,0.7595434588327076,False,trash,0.5347536279005459,0.0
Yelling and Shouting,0.1493762017837509,0.2392411254252219,0.1703462061895124,1.3184696667221631,0.5172469632317869,0.7831556133439026,False,middle,0.2392411254252219,0.0
