topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
163,Redemption Pursuit,11,10,catharina maura,2,0.18181818181818182,0.2727272727272727,False,0.0,low,-0.013333333333333334,0.0005921079705364315,0.0005836685841617527,0.11956521739130435
164,Eye Contact And Connection,38,22,tia louise,3,0.07894736842105263,0.15789473684210525,False,0.0,low,0.06222222222222222,0.0009503654722563921,0.0009424419522368046,0.41304347826086957
165,Emotional Voice Cracks,54,24,tia louise,3,0.05555555555555555,0.1111111111111111,False,0.0,low,0.21333333333333335,0.0011701814238353715,0.0009783492638439693,0.5869565217391305
166,Angry Shouting Match,39,24,max monroe,3,0.07692307692307693,0.1282051282051282,False,0.0,low,0.20222222222222222,0.0009693887462899239,0.0008667995899296406,0.42391304347826086
167,Intense Orgasmic Waves,66,27,alexa riley,3,0.045454545454545456,0.09090909090909091,False,0.0,low,0.2688888888888889,0.001497448902436232,0.0011688824803075051,0.717391304347826
168,Changes In Relationship Dynamics,53,31,k.a. linde,3,0.05660377358490566,0.11320754716981132,False,0.0,low,-0.011111111111111112,0.0010710721032603304,0.0010577656924441597,0.5760869565217391
169,Risky Business Decision,82,33,alexa riley,3,0.036585365853658534,0.07317073170731707,False,0.0,low,0.18222222222222223,0.0014719992861021445,0.0013640829389148942,0.8913043478260869
170,Noon Conversations,19,12,max monroe,3,0.15789473684210525,0.3157894736842105,False,0.0,low,0.05333333333333334,0.0005610558804409688,0.0005710139856261146,0.20652173913043478
171,Bedroom Intimacy,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.2,0.004024152836400272,0.0035712484299867337,1.0
173,Friendship Bonding,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.011111111111111112,0.001805945685288467,0.0017910793623473913,1.0
174,Despairing About Worst Scenarios,21,15,pipa grant,3,0.14285714285714285,0.23809523809523808,False,0.0,low,0.1622222222222222,0.0008187429190091087,0.0006915397277443272,0.22826086956521738
175,Underwater Glance,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.17555555555555555,0.0015037324296280478,0.0015651843523257478,1.0
176,Emotional Throat Tightness,54,23,tia louise,3,0.05555555555555555,0.1111111111111111,False,0.0,low,0.3466666666666667,0.0012790489326535241,0.0009877559250653439,0.5869565217391305
177,Stubborn Resistance,64,32,lisa kleypas,3,0.046875,0.09375,False,0.0,low,-0.08888888888888889,0.0011481887435276796,0.0011762387923687943,0.6956521739130435
178,Pursuit Of Happiness,88,33,tia louise,3,0.03409090909090909,0.06818181818181818,False,0.0,low,0.29333333333333333,0.0015983759660383,0.0013959378529430182,0.9565217391304348
179,Harem Conversation,18,12,k.a. linde,3,0.16666666666666666,0.3333333333333333,False,0.0,low,0.17333333333333334,0.0005538351438918805,0.0005380312117192831,0.1956521739130435
180,Ode Recital,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.044444444444444446,0.002646576751962307,0.0024451576620489425,1.0
181,Exasperated Conversations,66,31,annika martin,3,0.045454545454545456,0.09090909090909091,False,0.0,low,0.0022222222222222222,0.0011487788852449742,0.0012407421002125951,0.717391304347826
182,Cheek Heating Conversation,15,9,penny wylder,3,0.2,0.3333333333333333,False,0.0,low,0.04888888888888889,0.0002737220380424696,0.0002732011095713505,0.16304347826086957
184,Low Voice Conversations,90,32,alexa riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,0.17333333333333334,0.002265219061540473,0.0020512857301835893,0.9782608695652174
185,Thrilling Experiences,88,33,alexa riley,3,0.03409090909090909,0.06818181818181818,False,0.0,low,0.10888888888888888,0.0016001220071637852,0.0015163010831134435,0.9565217391304348
187,Political Planning Session,85,33,leslie north,3,0.03529411764705882,0.07058823529411765,False,0.0,low,0.06222222222222222,0.0017965460508965305,0.0016430990147734193,0.9239130434782609
188,Struggling With Authentic Feelings,90,33,alexa riley,3,0.03333333333333333,0.06666666666666667,False,0.0,low,-0.06,0.002114218956418115,0.0021007229566753953,0.9782608695652174
189,Weekend Planning,62,29,louise bay,3,0.04838709677419355,0.0967741935483871,False,0.0,low,0.057777777777777775,0.0012717743657119814,0.0012190801670533087,0.6739130434782609
190,Religious Piety Display,88,33,leslie north,3,0.03409090909090909,0.06818181818181818,False,0.0,low,0.19111111111111112,0.002242672541101997,0.001983385004042622,0.9565217391304348
191,Business Meeting With Client,3,1,leslie north,3,1.0,1.0,True,0.6666666666666666,high,-0.2,0.00046552457569431615,0.0005148771738775857,0.03260869565217391
192,Optimistic Reassurance,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.06888888888888889,0.006552019657119608,0.0068704105183940885,1.0
193,Birthday Surprise For Friend,6,3,k.a. linde,3,0.5,0.8333333333333334,False,0.0,medium,0.13777777777777778,0.0006664640926039294,0.0006320640862978561,0.06521739130434782
194,Author Acknowledgment Section,16,14,annika martin,2,0.125,0.25,False,0.0,low,0.011111111111111112,0.0005207333808239626,0.0004851543770243297,0.17391304347826086
195,Business Deal Negotiation,91,33,alexa riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.0661111111111111,0.0016100075171856668,0.001824333076310029,0.6793478260869565
196,Admiring Handsome Man,85,33,alexa riley,3,0.03529411764705882,0.07058823529411765,False,0.0,low,0.13333333333333333,0.0015435620011617964,0.001455711464734266,0.9239130434782609
197,Breakup Reflection,3,1,meghan quinn,3,1.0,1.0,True,0.6666666666666666,high,0.33111111111111113,0.00023535011168490774,0.00021689091703120164,0.03260869565217391
